,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Exemplar of,To be asked,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.,trial_n
138,2008_005251.jpg, person,,,,,18.43977255,low, person,,No Target,Normal,None,Na,Na,None,None,0,0
384,2010_004175.jpg, cat,,,,,10.23663576,low, cat,,No Target,Normal,None,Na,Na,None,None,1,1
210,2009_000087.jpg, sofa,,,,,19.8923897,low, sofa,,No Target,Normal,None,Na,Na,None,None,2,2
333,2010_001192.jpg, sofa, person,,,,20.92452836,low, sofa,,No Target,Normal,None,Na,Na,None,None,3,3
48,2008_001040.jpg, boat,,,,,20.2100437,low, boat,,No Target,Normal,None,Na,Na,None,None,4,4
340,2010_001594.jpg, boat,,,,,19.04897462,low, boat, person,Target Absent,Normal,None,"[('q', 1.6837418430441176)]",-999,None,None,5,5
131,2008_004771.jpg, aeroplane,,,,,18.79588987,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,6,6
375,2010_003592.jpg, aeroplane,,,,,11.64066234,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,7,7
327,2010_000805.jpg, dog, bottle,,,,18.86070334,low, bottle,,No Target,Critical,"[('space', 0.9160143426197465)]",Na,Na,0.414,tone2,8,8
426,2011_000734.jpg, bird,,,,,18.23108888,low, bird,,No Target,Normal,None,Na,Na,None,None,9,9
107,2008_003838.jpg, pottedplant, chair, dog,,,17.39857058,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,10,10
311,2009_004874.jpg, chair,,,,,19.81187434,low, chair,,No Target,Normal,None,Na,Na,None,None,11,11
140,2008_005345.jpg, pottedplant,,,,,16.52047637,low, pottedplant, dog,Target Absent,Normal,None,"[('q', 1.8684343396234908)]",-999,None,None,12,12
319,2010_000090.jpg, chair, dog,,,,13.83671015,low, dog,,No Target,Normal,None,Na,Na,None,None,13,13
335,2010_001417.jpg, cat,,,,,14.06671444,low, cat,,No Target,Normal,None,Na,Na,None,None,14,14
329,2010_000846.jpg, dog,,,,,11.4893019,low, dog,,No Target,Normal,None,Na,Na,None,None,15,15
31,2008_000533.jpg, bird,,,,,13.80945657,low, bird,,No Target,Normal,None,Na,Na,None,None,16,16
142,2008_005444.jpg, person, sofa,,,,14.90489029,low, sofa,,No Target,Normal,None,Na,Na,None,None,17,17
353,2010_002393.jpg, boat,,,,,20.13141109,low, boat,,No Target,Critical,"[('space', 0.23816715023713186)]",Na,Na,0.784,tone3,18,18
16,2008_000197.jpg, aeroplane,,,,,16.57609723,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,19,19
149,2008_005673.jpg, cat,,,,,18.6869051,low, cat,,No Target,Normal,None,Na,Na,None,None,20,20
449,2011_001753.jpg, aeroplane,,,,,11.34641314,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,21,21
94,2008_003045.jpg, cat,,,,,16.41703919,low, cat, cat,Target Present,Normal,None,"[('p', 1.632181895984104)]",-999,None,None,22,22
457,2011_001886.jpg, boat,,,,,19.6857523,low, boat,,No Target,Normal,None,Na,Na,None,None,23,23
245,2009_001723.jpg, boat,,,,,19.26433768,low, boat,,No Target,Normal,None,Na,Na,None,None,24,24
85,2008_002442.jpg, person, chair, dog, car,,19.9398263,low, car,,No Target,Normal,None,Na,Na,None,None,25,25
341,2010_001731.jpg, chair,,,,,9.955368401,low, chair,,No Target,Critical,"[('space', 0.6481378794051125)]",Na,Na,0.153,tone1,26,26
367,2010_003280.jpg, person, horse,,,,20.30683532,low, horse,,No Target,Normal,None,Na,Na,None,None,27,27
345,2010_001863.jpg, cat,,,,,16.82752057,low, cat,,No Target,Normal,None,Na,Na,None,None,28,28
372,2010_003453.jpg, car,,,,,17.7316961,low, car,,No Target,Normal,None,Na,Na,None,None,29,29
251,2009_001837.jpg, horse,,,,,19.27378311,low, horse,,No Target,Normal,None,Na,Na,None,None,30,30
383,2010_004145.jpg, horse,,,,,18.59045643,low, horse,,No Target,Critical,"[('space', 0.6150835317821475)]",Na,Na,0.152,tone2,31,31
4,2008_000066.jpg, dog,,,,,14.84037085,low, dog,,No Target,Normal,None,Na,Na,None,None,32,32
256,2009_002120.jpg, car,,,,,19.86595411,low, car,,No Target,Normal,None,Na,Na,None,None,33,33
458,2011_001959.jpg, bird,,,,,9.576867709,low, bird,,No Target,Critical,"[('space', 0.8254880064268946)]",Na,Na,0.345,tone1,34,34
276,2009_003127.jpg, horse,,,,,19.10307284,low, horse,,No Target,Normal,None,Na,Na,None,None,35,35
314,2009_005036.jpg, car, aeroplane,,,,16.811685,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,36,36
213,2009_000169.jpg, person, horse, car,,,20.93459986,low, car,,No Target,Critical,None,Na,Na,0.746,tone4,37,37
479,2011_003098.jpg, dog,,,,,14.52660239,low, dog,,No Target,Normal,None,Na,Na,None,None,38,38
232,2009_000939.jpg, tvmonitor, chair, sofa,,,21.02083881,low, sofa,,No Target,Normal,None,Na,Na,None,None,39,39
173,2008_006921.jpg, car,,,,,18.41450385,low, car, horse,Target Absent,Normal,None,"[('q', 1.7421284204756375)]",-999,None,None,40,40
328,2010_000838.jpg, person, horse,,,,20.40572806,low, horse,,No Target,Normal,None,Na,Na,None,None,41,41
11,2008_000163.jpg, car,,,,,18.70849772,low, car,,No Target,Normal,None,Na,Na,None,None,42,42
318,2010_000073.jpg, car,,,,,18.42947513,low, car,,No Target,Normal,None,Na,Na,None,None,43,43
477,2011_003023.jpg, sheep, person,,,,14.02332689,low, person,,No Target,Critical,None,Na,Na,0.12,tone4,44,44
120,2008_004414.jpg, car,,,,,20.49470892,low, car,,No Target,Normal,None,Na,Na,None,None,45,45
351,2010_002283.jpg, horse,,,,,18.05782528,low, horse,,No Target,Normal,None,Na,Na,None,None,46,46
263,2009_002415.jpg, chair, diningtable,,,,19.90451448,low, chair,,No Target,Critical,"[('space', 0.18670470610959455)]",Na,Na,0.724,tone3,47,47
238,2009_001314.jpg, bird,,,,,8.549086134,low, bird,,No Target,Normal,None,Na,Na,None,None,48,48
391,2010_004662.jpg, boat,,,,,21.19862042,low, boat,,No Target,Normal,None,Na,Na,None,None,49,49
418,2011_000379.jpg, sofa, cat,,,,21.05425029,low, sofa,,No Target,Normal,None,Na,Na,None,None,50,50
414,2010_006078.jpg, cat,,,,,13.15004464,low, cat,,No Target,Normal,None,Na,Na,None,None,51,51
108,2008_003846.jpg, car,,,,,18.10032217,low, car,,No Target,Critical,"[('space', 0.8509197348466842)]",Na,Na,0.347,tone2,52,52
116,2008_004208.jpg, person, chair,,,,21.15894772,low, person,,No Target,Normal,None,Na,Na,None,None,53,53
82,2008_002357.jpg, person,,,,,15.28084218,low, person,,No Target,Normal,None,Na,Na,None,None,54,54
115,2008_004175.jpg, horse,,,,,18.09561576,low, horse, horse,Target Present,Normal,None,"[('p', 1.5581652001783368)]",-999,None,None,55,55
36,2008_000646.jpg, person,,,,,13.39574725,low, person,,No Target,Normal,None,Na,Na,None,None,56,56
473,2011_002766.jpg, sofa, dog,,,,19.88562666,low, sofa,,No Target,Normal,None,Na,Na,None,None,57,57
323,2010_000447.jpg, chair,,,,,18.00822423,low, chair,,No Target,Normal,None,Na,Na,None,None,58,58
416,2011_000129.jpg, aeroplane,,,,,15.90618893,low, aeroplane, aeroplane,Target Present,Normal,None,"[('p', 1.6014761715123313)]",-999,None,None,59,59
41,2008_000803.jpg, person, bicycle, motorbike,,,31.27613146,high, person,,No Target,Normal,None,Na,Na,None,None,0,60
63,2008_001673.jpg, person, chair, bird,,,29.63012123,high, bird, bird,Target Present,Critical,"[('space', 0.7905716950190254)]","[('p', 1.6865526072506327)]",-999,0.231,tone1,1,61
218,2009_000449.jpg, sofa, dog, person,,,29.28309157,high, sofa,,No Target,Normal,None,Na,Na,None,None,2,62
404,2010_005572.jpg, person, motorbike,,,,31.07685831,high, person,,No Target,Normal,None,Na,Na,None,None,3,63
162,2008_006303.jpg, chair,,,,,28.72363665,high, chair,,No Target,Critical,"[('space', 0.758212412125431)]",Na,Na,0.19,tone1,4,64
425,2011_000675.jpg, person, horse,,,,30.73068063,high, horse,,No Target,Normal,None,Na,Na,None,None,5,65
355,2010_002462.jpg, pottedplant, person, bottle, diningtable,,35.49954365,high, bottle,,No Target,Normal,None,Na,Na,None,None,6,66
431,2011_001025.jpg, pottedplant, person, bicycle, car,,33.36715275,high, car,,No Target,Critical,"[('space', 0.27063305913179647)]",Na,Na,0.662,tone3,7,67
72,2008_002037.jpg, person, dog,,,,30.20203583,high, dog,,No Target,Normal,None,Na,Na,None,None,8,68
306,2009_004674.jpg, sofa, chair, person,,,33.18559025,high, chair,,No Target,Normal,None,Na,Na,None,None,9,69
206,2008_008591.jpg, person, bicycle, bottle,,,30.12805384,high, bottle,,No Target,Normal,None,Na,Na,None,None,10,70
455,2011_001862.jpg, pottedplant, sofa, chair, dog, diningtable,32.89256213,high, chair,,No Target,Normal,None,Na,Na,None,None,11,71
181,2008_007388.jpg, pottedplant, chair, diningtable,,,28.76635784,high, chair, chair,Target Present,Normal,None,"[('p', 1.7994689796687453)]",-999,None,None,12,72
1,2008_000036.jpg, person, bicycle, boat,,,33.11883424,high, boat,,No Target,Normal,None,Na,Na,None,None,13,73
478,2011_003086.jpg, bus, car, person,,,29.14351571,high, car,,No Target,Normal,None,Na,Na,None,None,14,74
33,2008_000564.jpg, pottedplant, person,,,,31.19071287,high, person,,No Target,Normal,None,Na,Na,None,None,15,75
405,2010_005595.jpg, horse,,,,,29.69412347,high, horse, car,Target Absent,Normal,None,"[('q', 2.7607865464233328)]",-999,None,None,16,76
165,2008_006481.jpg, bird, boat,,,,29.3142336,high, bird,,No Target,Normal,None,Na,Na,None,None,17,77
186,2008_007534.jpg, car, dog,,,,31.13697328,high, car,,No Target,Normal,None,Na,Na,None,None,18,78
435,2011_001116.jpg, person, cat,,,,29.77854418,high, cat,,No Target,Normal,None,Na,Na,None,None,19,79
