,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
0,Critical,NaN,0.168,NaN,999,0,low,No Target,tone2
1,Normal,NaN,None,NaN,999,999,low,No Target,None
2,Normal,NaN,None,NaN,999,999,low,No Target,None
3,Normal,NaN,None,NaN,999,999,low,No Target,None
4,Normal,NaN,None,NaN,999,999,low,No Target,None
5,Normal,NaN,None,NaN,999,999,low,No Target,None
6,Normal,1.3399999999999999,None,NaN,1,999,low,Target Present,None
7,Critical,NaN,0.026,NaN,999,0,low,No Target,tone1
8,Normal,NaN,None,NaN,999,999,low,No Target,None
9,Normal,NaN,None,NaN,999,999,low,No Target,None
10,Normal,NaN,None,NaN,999,999,low,No Target,None
11,Normal,NaN,None,NaN,999,999,low,No Target,None
12,Normal,NaN,None,NaN,999,999,low,No Target,None
13,Normal,NaN,None,NaN,999,999,low,No Target,None
14,Normal,NaN,None,NaN,999,999,low,No Target,None
15,Normal,NaN,None,NaN,999,999,low,No Target,None
16,Normal,0.7809999999999999,None,NaN,1,999,low,Target Present,None
17,Normal,NaN,None,NaN,999,999,low,No Target,None
18,Normal,NaN,None,NaN,999,999,low,No Target,None
19,Normal,NaN,None,NaN,999,999,low,No Target,None
20,Normal,NaN,None,NaN,999,999,low,No Target,None
21,Normal,NaN,None,NaN,999,999,low,No Target,None
22,Normal,NaN,None,NaN,999,999,low,No Target,None
23,Normal,NaN,None,NaN,999,999,low,No Target,None
24,Normal,NaN,None,NaN,999,999,low,No Target,None
25,Normal,NaN,None,NaN,999,999,low,No Target,None
26,Normal,NaN,None,NaN,999,999,low,No Target,None
27,Normal,NaN,None,NaN,999,999,low,No Target,None
28,Normal,NaN,None,NaN,999,999,low,No Target,None
29,Normal,NaN,None,NaN,999,999,low,No Target,None
30,Normal,NaN,None,NaN,999,999,low,No Target,None
31,Normal,NaN,None,NaN,999,999,low,No Target,None
32,Critical,NaN,0.249,0.504,999,1,low,No Target,tone2
33,Normal,NaN,None,NaN,999,999,low,No Target,None
34,Normal,NaN,None,NaN,999,999,low,No Target,None
35,Critical,NaN,0.689,0.832,999,1,low,No Target,tone1
36,Normal,NaN,None,NaN,999,999,low,No Target,None
37,Normal,NaN,None,NaN,999,999,low,No Target,None
38,Normal,NaN,None,NaN,999,999,low,No Target,None
39,Normal,NaN,None,NaN,999,999,low,No Target,None
40,Normal,NaN,None,NaN,999,999,low,No Target,None
41,Critical,NaN,0.884,NaN,999,0,low,No Target,tone2
42,Normal,NaN,None,NaN,999,999,low,No Target,None
43,Normal,1.1640000000000001,None,NaN,1,999,low,Target Absent,None
44,Critical,NaN,0.414,0.5860000000000001,999,1,low,No Target,tone3
45,Normal,0.9299999999999999,None,NaN,1,999,low,Target Present,None
46,Normal,NaN,None,NaN,999,999,low,No Target,None
47,Critical,NaN,0.591,0.6970000000000001,999,1,low,No Target,tone3
48,Normal,NaN,None,NaN,999,999,low,No Target,None
