,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
0,Normal,NaN,None,NaN,999,999,low,No Target,None
1,Normal,NaN,None,NaN,999,999,low,No Target,None
2,Normal,NaN,None,NaN,999,999,low,No Target,None
3,Normal,NaN,None,NaN,999,999,low,No Target,None
4,Normal,NaN,None,NaN,999,999,low,No Target,None
5,Normal,0.8799999999999999,None,0.5958275862068965,666,666,low,Target Present,None
6,Normal,NaN,None,NaN,999,999,low,No Target,None
7,Normal,NaN,None,NaN,999,999,low,No Target,None
8,Normal,NaN,None,NaN,999,999,low,No Target,None
9,Normal,NaN,None,NaN,999,999,low,No Target,None
10,Normal,NaN,None,NaN,999,999,low,No Target,None
11,Critical,NaN,0.352,0.648,999,1,low,No Target,tone2
12,Normal,NaN,None,NaN,999,999,low,No Target,None
13,Normal,0.5820000000000001,None,NaN,1,999,low,Target Present,None
14,Normal,NaN,None,NaN,999,999,low,No Target,None
15,Normal,NaN,None,NaN,999,999,low,No Target,None
16,Normal,1.1469999999999998,None,NaN,1,999,low,Target Present,None
17,Normal,NaN,None,NaN,999,999,low,No Target,None
18,Normal,NaN,None,NaN,999,999,low,No Target,None
19,Critical,NaN,0.821,0.39400000000000013,999,1,low,No Target,tone2
20,Normal,NaN,None,NaN,999,999,low,No Target,None
21,Normal,NaN,None,NaN,999,999,low,No Target,None
22,Critical,NaN,0.367,0.6579999999999999,999,1,low,No Target,tone1
23,Normal,NaN,None,NaN,999,999,low,No Target,None
24,Normal,NaN,None,NaN,999,999,low,No Target,None
25,Normal,NaN,None,NaN,999,999,low,No Target,None
26,Normal,NaN,None,NaN,999,999,low,No Target,None
27,Normal,NaN,None,NaN,999,999,low,No Target,None
28,Normal,NaN,None,NaN,999,999,low,No Target,None
29,Normal,NaN,None,NaN,999,999,low,No Target,None
30,Critical,NaN,0.437,0.6539999999999999,999,1,low,No Target,tone3
31,Normal,NaN,None,NaN,999,999,low,No Target,None
32,Normal,NaN,None,NaN,999,999,low,No Target,None
33,Normal,NaN,None,NaN,999,999,low,No Target,None
34,Normal,0.758,None,NaN,1,999,low,Target Absent,None
35,Normal,0.9179999999999999,None,NaN,1,999,low,Target Absent,None
36,Critical,NaN,0.893,0.6660000000000001,999,1,low,No Target,tone2
37,Normal,NaN,None,NaN,999,999,low,No Target,None
38,Normal,NaN,None,NaN,999,999,low,No Target,None
39,Normal,NaN,None,NaN,999,999,low,No Target,None
40,Normal,NaN,None,NaN,999,999,low,No Target,None
41,Normal,NaN,None,NaN,999,999,low,No Target,None
42,Critical,NaN,0.542,0.573,999,1,low,No Target,tone3
43,Normal,NaN,None,NaN,999,999,low,No Target,None
44,Normal,NaN,None,NaN,999,999,low,No Target,None
45,Normal,NaN,None,NaN,999,999,low,No Target,None
46,Normal,NaN,None,NaN,999,999,low,No Target,None
47,Normal,NaN,None,NaN,999,999,low,No Target,None
48,Normal,NaN,None,NaN,999,999,low,No Target,None
49,Normal,NaN,None,NaN,999,999,low,No Target,None
50,Normal,NaN,None,NaN,999,999,low,No Target,None
51,Normal,NaN,None,NaN,999,999,low,No Target,None
52,Normal,NaN,None,NaN,999,999,low,No Target,None
53,Normal,NaN,None,NaN,999,999,low,No Target,None
54,Normal,NaN,None,NaN,999,999,low,No Target,None
55,Critical,NaN,0.633,0.5940000000000001,999,1,low,No Target,tone1
56,Normal,NaN,None,NaN,999,999,low,No Target,None
57,Normal,NaN,None,NaN,999,999,low,No Target,None
58,Critical,NaN,0.542,0.47899999999999987,999,1,low,No Target,tone1
59,Critical,0.813,0.999,NaN,999,0,low,Target Absent,tone4
60,Normal,NaN,None,NaN,999,999,high,No Target,None
61,Normal,NaN,None,NaN,999,999,high,No Target,None
62,Critical,NaN,0.113,NaN,999,0,high,No Target,tone4
63,Normal,NaN,None,NaN,999,999,high,No Target,None
64,Normal,NaN,None,NaN,999,999,high,No Target,None
65,Normal,NaN,None,NaN,999,999,high,No Target,None
66,Normal,NaN,None,NaN,999,999,high,No Target,None
67,Normal,NaN,None,NaN,999,999,high,No Target,None
68,Normal,NaN,None,NaN,999,999,high,No Target,None
69,Normal,NaN,None,NaN,999,999,high,No Target,None
70,Normal,NaN,None,NaN,999,999,high,No Target,None
71,Normal,NaN,None,NaN,999,999,high,No Target,None
