,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
0,Critical,NaN,0.426,0.744,999,1,low,No Target,tone3
1,Normal,NaN,None,NaN,999,999,low,No Target,None
2,Normal,NaN,None,NaN,999,999,low,No Target,None
3,Critical,NaN,0.951,0.6370000000000001,999,1,low,No Target,tone3
4,Normal,NaN,None,NaN,999,999,low,No Target,None
5,Normal,NaN,None,NaN,999,999,low,No Target,None
6,Normal,NaN,None,NaN,999,999,low,No Target,None
7,Normal,NaN,None,NaN,999,999,low,No Target,None
8,Normal,NaN,None,NaN,999,999,low,No Target,None
9,Normal,NaN,None,NaN,999,999,low,No Target,None
10,Critical,NaN,0.697,0.503,999,1,low,No Target,tone1
11,Normal,NaN,None,NaN,999,999,low,No Target,None
12,Normal,NaN,None,NaN,999,999,low,No Target,None
13,Normal,NaN,None,NaN,999,999,low,No Target,None
14,Normal,NaN,None,NaN,999,999,low,No Target,None
15,Critical,NaN,0.94,0.546,999,1,low,No Target,tone4
16,Normal,NaN,None,NaN,999,999,low,No Target,None
17,Normal,NaN,None,NaN,999,999,low,No Target,None
18,Normal,NaN,None,NaN,999,999,low,No Target,None
19,Critical,NaN,0.292,0.613,999,1,low,No Target,tone1
20,Normal,NaN,None,NaN,999,999,low,No Target,None
21,Normal,NaN,None,NaN,999,999,low,No Target,None
22,Normal,1.0750000000000002,None,NaN,1,999,low,Target Present,None
23,Normal,NaN,None,NaN,999,999,low,No Target,None
24,Normal,NaN,None,NaN,999,999,low,No Target,None
25,Critical,0.8839999999999999,0.865,0.4910000000000001,999,1,low,Target Present,tone1
26,Normal,NaN,None,NaN,999,999,low,No Target,None
27,Normal,NaN,None,NaN,999,999,low,No Target,None
28,Normal,NaN,None,NaN,999,999,low,No Target,None
29,Critical,NaN,0.987,0.46099999999999997,999,1,low,No Target,tone1
30,Normal,NaN,None,NaN,999,999,low,No Target,None
31,Normal,NaN,None,NaN,999,999,low,No Target,None
32,Normal,NaN,None,NaN,999,999,low,No Target,None
33,Normal,NaN,None,NaN,999,999,low,No Target,None
34,Normal,NaN,None,NaN,999,999,low,No Target,None
35,Critical,NaN,0.609,0.4750000000000001,999,1,low,No Target,tone1
36,Normal,NaN,None,NaN,999,999,low,No Target,None
37,Normal,NaN,None,NaN,999,999,low,No Target,None
38,Normal,1.145,None,NaN,1,999,low,Target Present,None
39,Normal,NaN,None,NaN,999,999,low,No Target,None
40,Normal,NaN,None,NaN,999,999,low,No Target,None
41,Normal,NaN,None,NaN,999,999,low,No Target,None
42,Normal,NaN,None,NaN,999,999,low,No Target,None
43,Normal,NaN,None,NaN,999,999,low,No Target,None
44,Critical,NaN,0.216,0.522,999,1,low,No Target,tone2
45,Normal,NaN,None,NaN,999,999,low,No Target,None
46,Normal,NaN,None,NaN,999,999,low,No Target,None
47,Normal,1.1320000000000001,None,NaN,0,999,low,Target Absent,None
48,Normal,NaN,None,NaN,999,999,low,No Target,None
49,Normal,NaN,None,NaN,999,999,low,No Target,None
50,Normal,1.1059999999999999,None,NaN,0,999,low,Target Absent,None
51,Normal,NaN,None,NaN,999,999,low,No Target,None
52,Normal,NaN,None,NaN,999,999,low,No Target,None
53,Normal,NaN,None,NaN,999,999,low,No Target,None
54,Normal,1.1360000000000001,None,NaN,1,999,low,Target Absent,None
55,Normal,NaN,None,NaN,999,999,low,No Target,None
56,Normal,NaN,None,NaN,999,999,low,No Target,None
57,Normal,NaN,None,NaN,999,999,low,No Target,None
58,Normal,NaN,None,NaN,999,999,low,No Target,None
59,Normal,NaN,None,NaN,999,999,low,No Target,None
60,Normal,NaN,None,NaN,999,999,high,No Target,None
61,Normal,NaN,None,NaN,999,999,high,No Target,None
62,Critical,NaN,0.843,0.7410000000000001,999,1,high,No Target,tone4
63,Normal,NaN,None,NaN,999,999,high,No Target,None
64,Normal,NaN,None,NaN,999,999,high,No Target,None
65,Normal,NaN,None,NaN,999,999,high,No Target,None
66,Normal,NaN,None,NaN,999,999,high,No Target,None
67,Critical,NaN,0.888,0.4700000000000001,999,1,high,No Target,tone3
68,Normal,NaN,None,NaN,999,999,high,No Target,None
69,Normal,NaN,None,NaN,999,999,high,No Target,None
70,Normal,1.0659999999999998,None,NaN,1,999,high,Target Absent,None
71,Normal,NaN,None,NaN,999,999,high,No Target,None
72,Normal,NaN,None,NaN,999,999,high,No Target,None
73,Normal,1.2109999999999999,None,NaN,1,999,high,Target Present,None
74,Normal,NaN,None,NaN,999,999,high,No Target,None
75,Normal,NaN,None,NaN,999,999,high,No Target,None
76,Normal,NaN,None,NaN,999,999,high,No Target,None
77,Critical,NaN,0.889,0.938,999,1,high,No Target,tone1
78,Normal,NaN,None,NaN,999,999,high,No Target,None
79,Normal,NaN,None,NaN,999,999,high,No Target,None
80,Normal,NaN,None,NaN,999,999,high,No Target,None
81,Normal,NaN,None,NaN,999,999,high,No Target,None
82,Normal,NaN,None,NaN,999,999,high,No Target,None
83,Normal,NaN,None,NaN,999,999,high,No Target,None
84,Normal,NaN,None,NaN,999,999,high,No Target,None
85,Normal,NaN,None,NaN,999,999,high,No Target,None
86,Normal,0.996,None,NaN,1,999,high,Target Absent,None
87,Normal,NaN,None,NaN,999,999,high,No Target,None
88,Normal,NaN,None,NaN,999,999,high,No Target,None
