,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Exemplar of,To be asked,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.,trial_n
84,2008_002379.jpg, pottedplant, chair, diningtable,,,17.13857605,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,0,0
265,2009_002567.jpg, bottle,,,,,19.93577352,low, bottle,,No Target,Critical,"[('space', 9.750292520038784e-05)]",Na,Na,0.424,tone4,1,1
39,2008_000777.jpg, person,,,,,20.3258581,low, person,,No Target,Normal,None,Na,Na,None,None,2,2
302,2009_004582.jpg, sofa, person,,,,20.38268488,low, sofa,,No Target,Normal,None,Na,Na,None,None,3,3
251,2009_001837.jpg, horse,,,,,19.27378311,low, horse,,No Target,Normal,None,Na,Na,None,None,4,4
271,2009_002749.jpg, bottle,,,,,20.96364308,low, bottle,,No Target,Normal,None,Na,Na,None,None,5,5
198,2008_008083.jpg, person, boat,,,,18.64245043,low, boat,,No Target,Critical,"[('space', 0.19599827459751396)]",Na,Na,0.735,tone4,6,6
479,2011_003098.jpg, dog,,,,,14.52660239,low, dog,,No Target,Normal,None,Na,Na,None,None,7,7
253,2009_001894.jpg, cat,,,,,19.10769655,low, cat,,No Target,Normal,None,Na,Na,None,None,8,8
372,2010_003453.jpg, car,,,,,17.7316961,low, car,,No Target,Critical,"[('space', 0.1343262476439122)]",Na,Na,0.71,tone1,9,9
138,2008_005251.jpg, person,,,,,18.43977255,low, person,,No Target,Normal,None,Na,Na,None,None,10,10
210,2009_000087.jpg, sofa,,,,,19.8923897,low, sofa,,No Target,Normal,None,Na,Na,None,None,11,11
453,2011_001825.jpg, horse,,,,,20.50284734,low, horse, aeroplane,Target Absent,Critical,None,"[('q', 2.9464366813990637)]","['space', 1.4585166383621981]",0.984,tone4,12,12
370,2010_003329.jpg, bottle,,,,,20.96577532,low, bottle,,No Target,Normal,None,Na,Na,None,None,13,13
267,2009_002594.jpg, bottle,,,,,19.09623736,low, bottle,,No Target,Normal,None,Na,Na,None,None,14,14
241,2009_001406.jpg, person, boat,,,,19.90161689,low, boat,,No Target,Normal,None,Na,Na,None,None,15,15
131,2008_004771.jpg, aeroplane,,,,,18.79588987,low, aeroplane, aeroplane,Target Present,Normal,None,"[('p', 1.9106228868986364)]",-999,None,None,16,16
208,2008_008714.jpg, sheep, dog,,,,20.07817344,low, dog,,No Target,Normal,None,Na,Na,None,None,17,17
256,2009_002120.jpg, car,,,,,19.86595411,low, car,,No Target,Normal,None,Na,Na,None,None,18,18
9,2008_000141.jpg, person, horse,,,,19.2853679,low, horse,,No Target,Normal,None,Na,Na,None,None,19,19
466,2011_002453.jpg, pottedplant,,,,,19.24976137,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,20,20
386,2010_004231.jpg, chair, diningtable,,,,15.83070894,low, chair,,No Target,Normal,None,Na,Na,None,None,21,21
470,2011_002558.jpg, person, boat,,,,16.14615478,low, boat,,No Target,Critical,"[('space', 0.3903814787772717)]",Na,Na,0.977,tone1,22,22
335,2010_001417.jpg, cat,,,,,14.06671444,low, cat,,No Target,Normal,None,Na,Na,None,None,23,23
117,2008_004269.jpg, sofa, person,,,,20.98329806,low, sofa,,No Target,Normal,None,Na,Na,None,None,24,24
326,2010_000750.jpg, pottedplant,,,,,11.90221234,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,25,25
130,2008_004702.jpg, person, chair, dog,,,18.94630701,low, chair,,No Target,Normal,"[('space', 0.5686980821847101)]",Na,Na,None,None,26,26
375,2010_003592.jpg, aeroplane,,,,,11.64066234,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,27,27
367,2010_003280.jpg, person, horse,,,,20.30683532,low, horse,,No Target,Normal,None,Na,Na,None,None,28,28
83,2008_002372.jpg, bottle,,,,,14.59333688,low, bottle, dog,Target Absent,Normal,None,"[('p', 2.7469833249997464)]",-999,None,None,29,29
342,2010_001829.jpg, horse,,,,,19.23440134,low, horse,,No Target,Normal,None,Na,Na,None,None,30,30
421,2011_000481.jpg, aeroplane,,,,,15.75949207,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,31,31
264,2009_002521.jpg, bottle,,,,,20.83252155,low, bottle, bottle,Target Present,Normal,None,"[('p', 2.6168497032340383)]",-999,None,None,32,32
124,2008_004522.jpg, person,,,,,20.54328862,low, person,,No Target,Normal,None,Na,Na,None,None,33,33
3,2008_000059.jpg, person, dog,,,,19.02871536,low, person,,No Target,Normal,None,Na,Na,None,None,34,34
120,2008_004414.jpg, car,,,,,20.49470892,low, car,,No Target,Normal,None,Na,Na,None,None,35,35
163,2008_006452.jpg, dog,,,,,16.13745812,low, dog,,No Target,Critical,"[('space', 0.11174120556825073)]",Na,Na,0.704,tone4,36,36
263,2009_002415.jpg, chair, diningtable,,,,19.90451448,low, chair,,No Target,Normal,None,Na,Na,None,None,37,37
191,2008_007816.jpg, horse,,,,,21.01947615,low, horse,,No Target,Normal,None,Na,Na,None,None,38,38
23,2008_000398.jpg, person, bottle,,,,20.42379547,low, bottle,,No Target,Critical,"[('space', 0.033804150829382706)]",Na,Na,0.577,tone4,39,39
