,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
0,Normal,0.7425,None,NaN,1,999,low,Target Present,None
1,Normal,NaN,None,NaN,999,999,low,No Target,None
2,Normal,NaN,None,NaN,999,999,low,No Target,None
3,Normal,NaN,None,NaN,999,999,low,No Target,None
4,Normal,NaN,None,NaN,999,999,low,No Target,None
5,Normal,NaN,None,NaN,999,999,low,No Target,None
6,Critical,NaN,0.008,0.46299999999999997,999,1,low,No Target,tone4
7,Normal,NaN,None,NaN,999,999,low,No Target,None
8,Normal,NaN,None,NaN,999,999,low,No Target,None
9,Normal,NaN,None,NaN,999,999,low,No Target,None
10,Normal,NaN,None,NaN,999,999,low,No Target,None
11,Normal,NaN,None,NaN,999,999,low,No Target,None
12,Normal,NaN,None,NaN,999,999,low,No Target,None
13,Normal,NaN,None,NaN,999,999,low,No Target,None
14,Normal,NaN,None,NaN,999,999,low,No Target,None
15,Critical,NaN,0.735,0.39700000000000013,999,1,low,No Target,tone3
16,Normal,NaN,None,NaN,999,999,low,No Target,None
17,Normal,NaN,None,NaN,999,999,low,No Target,None
18,Normal,NaN,None,NaN,999,999,low,No Target,None
19,Normal,0.7509999999999999,None,NaN,1,999,low,Target Absent,None
20,Normal,NaN,None,NaN,999,999,low,No Target,None
21,Normal,NaN,None,NaN,999,999,low,No Target,None
22,Critical,NaN,0.069,0.5109999999999999,999,1,low,No Target,tone2
23,Normal,NaN,None,NaN,999,999,low,No Target,None
24,Critical,NaN,0.494,0.482,999,1,low,No Target,tone3
25,Normal,NaN,None,NaN,999,999,low,No Target,None
26,Critical,NaN,0.156,0.608,999,1,low,No Target,tone4
27,Normal,NaN,None,NaN,999,999,low,No Target,None
28,Normal,NaN,None,NaN,999,999,low,No Target,None
29,Normal,NaN,None,NaN,999,999,low,No Target,None
30,Normal,NaN,None,NaN,999,999,low,No Target,None
31,Normal,NaN,None,NaN,999,999,low,No Target,None
32,Normal,0.649,None,NaN,1,999,low,Target Absent,None
33,Normal,NaN,None,NaN,999,999,low,No Target,None
34,Normal,NaN,None,NaN,999,999,low,No Target,None
35,Critical,NaN,0.427,0.536,999,1,low,No Target,tone3
36,Normal,NaN,None,NaN,999,999,low,No Target,None
37,Normal,NaN,None,NaN,999,999,low,No Target,None
38,Normal,NaN,None,NaN,999,999,low,No Target,None
39,Normal,NaN,None,NaN,999,999,low,No Target,None
40,Normal,NaN,None,NaN,999,999,low,No Target,None
41,Critical,NaN,0.478,0.505,999,1,low,No Target,tone4
42,Normal,NaN,None,NaN,999,999,low,No Target,None
43,Normal,NaN,None,NaN,999,999,low,No Target,None
44,Normal,NaN,None,NaN,999,999,low,No Target,None
45,Normal,NaN,None,NaN,999,999,low,No Target,None
46,Normal,NaN,None,NaN,999,999,low,No Target,None
47,Normal,0.726,None,NaN,1,999,low,Target Absent,None
48,Normal,NaN,None,NaN,999,999,low,No Target,None
49,Normal,NaN,None,NaN,999,999,low,No Target,None
50,Normal,NaN,None,NaN,999,999,low,No Target,None
51,Normal,NaN,None,NaN,999,999,low,No Target,None
52,Critical,NaN,0.802,0.43699999999999983,999,1,low,No Target,tone4
53,Normal,0.647,None,NaN,0,999,low,Target Present,None
54,Normal,NaN,None,NaN,999,999,low,No Target,None
55,Normal,NaN,None,NaN,999,999,low,No Target,None
56,Normal,NaN,None,NaN,999,999,low,No Target,None
57,Normal,NaN,None,NaN,999,999,low,No Target,None
58,Critical,NaN,0.863,0.611,999,1,low,No Target,tone1
59,Normal,0.8819999999999999,None,NaN,1,999,low,Target Present,None
60,Normal,NaN,None,NaN,999,999,high,No Target,None
61,Normal,NaN,None,NaN,999,999,high,No Target,None
62,Critical,NaN,0.503,0.477,999,1,high,No Target,tone3
63,Normal,NaN,None,NaN,999,999,high,No Target,None
64,Normal,0.7390000000000001,None,NaN,1,999,high,Target Absent,None
65,Normal,NaN,None,NaN,999,999,high,No Target,None
66,Normal,NaN,None,NaN,999,999,high,No Target,None
67,Normal,NaN,None,NaN,999,999,high,No Target,None
68,Normal,NaN,None,NaN,999,999,high,No Target,None
69,Normal,NaN,None,NaN,999,999,high,No Target,None
70,Normal,NaN,None,NaN,999,999,high,No Target,None
71,Normal,0.841,None,NaN,1,999,high,Target Present,None
72,Normal,NaN,None,NaN,999,999,high,No Target,None
73,Normal,NaN,None,NaN,999,999,high,No Target,None
74,Normal,NaN,None,NaN,999,999,high,No Target,None
75,Normal,NaN,None,NaN,999,999,high,No Target,None
76,Normal,NaN,None,NaN,999,999,high,No Target,None
77,Normal,NaN,None,NaN,999,999,high,No Target,None
78,Critical,0.891,0.803,0.46399999999999986,999,999,high,Target Absent,tone1
79,Normal,NaN,None,NaN,999,999,high,No Target,None
80,Normal,NaN,None,NaN,999,999,high,No Target,None
81,Critical,NaN,0.635,0.5189999999999999,999,1,high,No Target,tone1
82,Normal,NaN,None,NaN,999,999,high,No Target,None
83,Normal,NaN,None,NaN,999,999,high,No Target,None
84,Normal,NaN,None,NaN,999,999,high,No Target,None
85,Normal,NaN,None,NaN,999,999,high,No Target,None
86,Normal,NaN,None,NaN,999,999,high,No Target,None
87,Normal,NaN,None,NaN,999,999,high,No Target,None
88,Normal,0.7425,None,NaN,1,999,high,Target Present,None
89,Normal,NaN,None,NaN,999,999,high,No Target,None
90,Normal,NaN,None,NaN,999,999,high,No Target,None
91,Critical,NaN,0.009,0.45,999,1,high,No Target,tone1
92,Normal,NaN,None,NaN,999,999,high,No Target,None
93,Normal,NaN,None,NaN,999,999,high,No Target,None
94,Critical,NaN,0.946,0.5530000000000002,999,1,high,No Target,tone4
95,Normal,NaN,None,NaN,999,999,high,No Target,None
96,Normal,NaN,None,NaN,999,999,high,No Target,None
97,Normal,NaN,None,NaN,999,999,high,No Target,None
98,Normal,NaN,None,NaN,999,999,high,No Target,None
99,Normal,NaN,None,NaN,999,999,high,No Target,None
100,Normal,NaN,None,NaN,999,999,high,No Target,None
101,Normal,NaN,None,NaN,999,999,high,No Target,None
102,Normal,NaN,None,NaN,999,999,high,No Target,None
103,Normal,NaN,None,NaN,999,999,high,No Target,None
104,Normal,NaN,None,NaN,999,999,high,No Target,None
105,Normal,NaN,None,NaN,999,999,high,No Target,None
106,Critical,NaN,0.406,0.48,999,1,high,No Target,tone3
107,Normal,NaN,None,NaN,999,999,high,No Target,None
108,Normal,NaN,None,NaN,999,999,high,No Target,None
109,Normal,NaN,None,NaN,999,999,high,No Target,None
110,Normal,0.903,None,NaN,0,999,high,Target Present,None
111,Normal,NaN,None,NaN,999,999,high,No Target,None
112,Critical,NaN,0.776,0.46299999999999986,999,1,high,No Target,tone2
113,Normal,NaN,None,NaN,999,999,high,No Target,None
114,Normal,NaN,None,NaN,999,999,high,No Target,None
115,Normal,NaN,None,NaN,999,999,high,No Target,None
116,Normal,NaN,None,NaN,999,999,high,No Target,None
117,Normal,NaN,None,NaN,999,999,high,No Target,None
118,Critical,NaN,0.156,0.529,999,1,high,No Target,tone1
119,Critical,0.875,0.802,0.44899999999999984,999,1,high,Target Absent,tone1
120,Normal,NaN,None,NaN,999,999,high,No Target,None
121,Normal,NaN,None,NaN,999,999,high,No Target,None
122,Critical,NaN,0.812,0.44299999999999984,999,1,high,No Target,tone1
123,Normal,NaN,None,NaN,999,999,high,No Target,None
124,Normal,NaN,None,NaN,999,999,high,No Target,None
125,Normal,NaN,None,NaN,999,999,high,No Target,None
126,Normal,NaN,None,NaN,999,999,high,No Target,None
127,Normal,NaN,None,NaN,999,999,high,No Target,None
128,Normal,0.774,None,NaN,0,999,high,Target Absent,None
129,Normal,NaN,None,NaN,999,999,high,No Target,None
130,Normal,NaN,None,NaN,999,999,high,No Target,None
131,Critical,NaN,0.406,0.493,999,1,high,No Target,tone2
132,Normal,NaN,None,NaN,999,999,high,No Target,None
133,Normal,NaN,None,NaN,999,999,high,No Target,None
134,Critical,NaN,0.788,0.575,999,1,high,No Target,tone1
135,Normal,NaN,None,NaN,999,999,high,No Target,None
136,Normal,NaN,None,NaN,999,999,high,No Target,None
137,Critical,NaN,0.178,0.437,999,1,high,No Target,tone3
138,Normal,NaN,None,NaN,999,999,high,No Target,None
139,Normal,NaN,None,NaN,999,999,high,No Target,None
140,Normal,NaN,None,NaN,999,999,high,No Target,None
141,Normal,NaN,None,NaN,999,999,high,No Target,None
142,Critical,NaN,0.496,NaN,999,0,high,No Target,tone3
143,Normal,NaN,None,NaN,999,999,high,No Target,None
144,Normal,NaN,None,NaN,999,999,high,No Target,None
145,Normal,NaN,None,NaN,999,999,high,No Target,None
146,Normal,NaN,None,NaN,999,999,high,No Target,None
147,Normal,NaN,None,NaN,999,999,high,No Target,None
148,Normal,NaN,None,NaN,999,999,high,No Target,None
149,Normal,NaN,None,NaN,999,999,high,No Target,None
150,Normal,NaN,None,NaN,999,999,high,No Target,None
151,Normal,NaN,None,NaN,999,999,high,No Target,None
152,Normal,NaN,None,NaN,999,999,high,No Target,None
153,Critical,NaN,0.273,0.489,999,1,high,No Target,tone4
154,Normal,NaN,None,NaN,999,999,high,No Target,None
155,Normal,NaN,None,NaN,999,999,high,No Target,None
156,Normal,NaN,None,NaN,999,999,high,No Target,None
157,Normal,NaN,None,NaN,999,999,high,No Target,None
158,Normal,NaN,None,NaN,999,999,high,No Target,None
159,Normal,NaN,None,NaN,999,999,high,No Target,None
160,Normal,NaN,None,NaN,999,999,high,No Target,None
161,Normal,NaN,None,NaN,999,999,high,No Target,None
162,Normal,0.7130000000000001,None,NaN,1,999,high,Target Absent,None
163,Normal,0.651,None,NaN,1,999,high,Target Present,None
164,Normal,NaN,None,NaN,999,999,high,No Target,None
165,Normal,0.7425,None,NaN,1,999,high,Target Present,None
166,Normal,0.758,None,NaN,1,999,high,Target Present,None
167,Critical,NaN,0.934,NaN,999,0,high,No Target,tone1
168,Normal,NaN,None,NaN,999,999,high,No Target,None
169,Normal,NaN,None,NaN,999,999,high,No Target,None
170,Critical,NaN,0.427,0.6063768115942029,999,1,high,No Target,tone3
171,Normal,NaN,None,NaN,999,999,high,No Target,None
172,Normal,NaN,None,NaN,999,999,high,No Target,None
173,Normal,NaN,None,NaN,999,999,high,No Target,None
174,Normal,NaN,None,NaN,999,999,high,No Target,None
175,Normal,NaN,None,NaN,999,999,high,No Target,None
176,Normal,NaN,None,NaN,999,999,high,No Target,None
177,Normal,NaN,None,NaN,999,999,high,No Target,None
178,Critical,NaN,0.984,0.4730000000000001,999,1,high,No Target,tone1
179,Normal,0.641,None,NaN,1,999,high,Target Absent,None
180,Normal,NaN,None,NaN,999,999,low,No Target,None
181,Normal,NaN,None,NaN,999,999,low,No Target,None
182,Normal,NaN,None,0.487,666,666,low,No Target,None
183,Normal,NaN,None,NaN,999,999,low,No Target,None
184,Normal,NaN,None,NaN,999,999,low,No Target,None
185,Normal,NaN,None,NaN,999,999,low,No Target,None
186,Normal,NaN,None,NaN,999,999,low,No Target,None
187,Critical,NaN,0.658,0.8509999999999999,999,1,low,No Target,tone3
188,Normal,NaN,None,NaN,999,999,low,No Target,None
189,Normal,NaN,None,NaN,999,999,low,No Target,None
190,Critical,NaN,0.616,NaN,999,0,low,No Target,tone1
191,Normal,NaN,None,NaN,999,999,low,No Target,None
192,Critical,NaN,0.503,NaN,999,0,low,No Target,tone3
193,Normal,NaN,None,NaN,999,999,low,No Target,None
194,Normal,0.667,None,NaN,1,999,low,Target Present,None
195,Normal,NaN,None,NaN,999,999,low,No Target,None
196,Normal,0.661,None,NaN,1,999,low,Target Present,None
197,Normal,NaN,None,NaN,999,999,low,No Target,None
198,Normal,NaN,None,NaN,999,999,low,No Target,None
199,Normal,NaN,None,NaN,999,999,low,No Target,None
200,Critical,NaN,0.35,0.536,999,1,low,No Target,tone1
201,Normal,NaN,None,NaN,999,999,low,No Target,None
202,Normal,NaN,None,NaN,999,999,low,No Target,None
203,Normal,NaN,None,NaN,999,999,low,No Target,None
204,Normal,NaN,None,NaN,999,999,low,No Target,None
205,Normal,NaN,None,NaN,999,999,low,No Target,None
206,Normal,NaN,None,NaN,999,999,low,No Target,None
207,Normal,NaN,None,NaN,999,999,low,No Target,None
208,Normal,NaN,None,0.519,666,666,low,No Target,None
209,Normal,NaN,None,NaN,999,999,low,No Target,None
210,Normal,NaN,None,NaN,999,999,low,No Target,None
211,Normal,NaN,None,NaN,999,999,low,No Target,None
212,Normal,NaN,None,NaN,999,999,low,No Target,None
213,Normal,NaN,None,NaN,999,999,low,No Target,None
214,Normal,NaN,None,NaN,999,999,low,No Target,None
215,Normal,NaN,None,NaN,999,999,low,No Target,None
216,Normal,NaN,None,NaN,999,999,low,No Target,None
217,Critical,NaN,0.809,0.483,999,1,low,No Target,tone4
218,Normal,NaN,None,NaN,999,999,low,No Target,None
219,Normal,NaN,None,NaN,999,999,low,No Target,None
220,Normal,0.6479999999999999,None,NaN,1,999,low,Target Absent,None
221,Normal,NaN,None,NaN,999,999,low,No Target,None
222,Normal,NaN,None,NaN,999,999,low,No Target,None
223,Normal,NaN,None,NaN,999,999,low,No Target,None
224,Normal,NaN,None,NaN,999,999,low,No Target,None
225,Normal,NaN,None,NaN,999,999,low,No Target,None
226,Critical,NaN,0.252,0.45599999999999996,999,1,low,No Target,tone2
227,Normal,NaN,None,NaN,999,999,low,No Target,None
228,Critical,0.744,0.238,0.41800000000000004,999,1,low,Target Absent,tone4
229,Normal,NaN,None,NaN,999,999,low,No Target,None
230,Normal,NaN,None,NaN,999,999,low,No Target,None
231,Normal,NaN,None,NaN,999,999,low,No Target,None
232,Normal,NaN,None,NaN,999,999,low,No Target,None
233,Normal,NaN,None,NaN,999,999,low,No Target,None
234,Critical,NaN,0.273,0.44699999999999995,999,1,low,No Target,tone2
235,Normal,0.687,None,NaN,1,999,low,Target Absent,None
236,Normal,NaN,None,NaN,999,999,low,No Target,None
237,Normal,NaN,None,NaN,999,999,low,No Target,None
238,Critical,NaN,0.802,0.403,999,1,low,No Target,tone3
239,Normal,0.613,None,NaN,1,999,low,Target Present,None
240,Critical,NaN,0.825,0.45300000000000007,999,1,high,No Target,tone4
241,Normal,NaN,None,NaN,999,999,high,No Target,None
242,Normal,NaN,None,NaN,999,999,high,No Target,None
243,Normal,NaN,None,NaN,999,999,high,No Target,None
244,Normal,NaN,None,NaN,999,999,high,No Target,None
245,Normal,NaN,None,NaN,999,999,high,No Target,None
246,Critical,0.605,0.438,0.5269999999999999,999,1,high,Target Present,tone2
247,Normal,NaN,None,NaN,999,999,high,No Target,None
248,Normal,NaN,None,NaN,999,999,high,No Target,None
249,Normal,NaN,None,NaN,999,999,high,No Target,None
250,Normal,NaN,None,NaN,999,999,high,No Target,None
251,Normal,NaN,None,NaN,999,999,high,No Target,None
252,Normal,NaN,None,NaN,999,999,high,No Target,None
253,Normal,NaN,None,NaN,999,999,high,No Target,None
254,Normal,NaN,None,NaN,999,999,high,No Target,None
255,Normal,NaN,None,NaN,999,999,high,No Target,None
256,Normal,NaN,None,NaN,999,999,high,No Target,None
257,Normal,NaN,None,NaN,999,999,high,No Target,None
258,Normal,NaN,None,NaN,999,999,high,No Target,None
259,Normal,NaN,None,NaN,999,999,high,No Target,None
260,Normal,NaN,None,NaN,999,999,high,No Target,None
261,Critical,NaN,0.934,0.4259999999999998,999,1,high,No Target,tone4
262,Normal,NaN,None,NaN,999,999,high,No Target,None
263,Normal,NaN,None,NaN,999,999,high,No Target,None
264,Normal,NaN,None,NaN,999,999,high,No Target,None
265,Normal,NaN,None,NaN,999,999,high,No Target,None
266,Normal,NaN,None,NaN,999,999,high,No Target,None
267,Critical,NaN,0.984,0.478,999,1,high,No Target,tone3
268,Normal,NaN,None,NaN,999,999,high,No Target,None
269,Normal,NaN,None,NaN,999,999,high,No Target,None
270,Normal,NaN,None,NaN,999,999,high,No Target,None
271,Normal,NaN,None,NaN,999,999,high,No Target,None
272,Normal,NaN,None,NaN,999,999,high,No Target,None
273,Normal,NaN,None,NaN,999,999,high,No Target,None
274,Normal,NaN,None,NaN,999,999,high,No Target,None
275,Normal,NaN,None,NaN,999,999,high,No Target,None
276,Critical,0.6459999999999999,0.503,0.45499999999999996,999,1,high,Target Absent,tone1
277,Normal,NaN,None,NaN,999,999,high,No Target,None
278,Normal,NaN,None,NaN,999,999,high,No Target,None
279,Critical,NaN,0.273,0.43199999999999994,999,1,high,No Target,tone1
280,Normal,NaN,None,NaN,999,999,high,No Target,None
281,Normal,NaN,None,NaN,999,999,high,No Target,None
282,Normal,NaN,None,NaN,999,999,high,No Target,None
283,Normal,NaN,None,NaN,999,999,high,No Target,None
284,Normal,NaN,None,NaN,999,999,high,No Target,None
285,Normal,NaN,None,NaN,999,999,high,No Target,None
286,Normal,NaN,None,NaN,999,999,high,No Target,None
287,Normal,0.6499999999999999,None,NaN,1,999,high,Target Present,None
288,Normal,NaN,None,NaN,999,999,high,No Target,None
289,Critical,NaN,0.447,NaN,999,0,high,No Target,tone3
290,Normal,NaN,None,NaN,999,999,high,No Target,None
291,Normal,NaN,None,NaN,999,999,high,No Target,None
292,Critical,0.935,0.658,0.6209999999999999,999,1,high,Target Absent,tone1
293,Normal,NaN,None,NaN,999,999,high,No Target,None
294,Normal,NaN,None,NaN,999,999,high,No Target,None
295,Normal,0.605,None,NaN,1,999,high,Target Present,None
296,Normal,NaN,None,NaN,999,999,high,No Target,None
297,Normal,NaN,None,NaN,999,999,high,No Target,None
298,Critical,NaN,0.981,0.561,999,1,high,No Target,tone4
299,Normal,0.806,None,NaN,1,999,high,Target Absent,None
300,Normal,NaN,None,NaN,999,999,low,No Target,None
301,Critical,NaN,0.919,0.488,999,1,low,No Target,tone4
302,Normal,NaN,None,NaN,999,999,low,No Target,None
303,Normal,NaN,None,NaN,999,999,low,No Target,None
304,Normal,NaN,None,NaN,999,999,low,No Target,None
305,Critical,NaN,0.238,0.45999999999999996,999,1,low,No Target,tone3
306,Normal,NaN,None,NaN,999,999,low,No Target,None
307,Normal,NaN,None,NaN,999,999,low,No Target,None
308,Normal,NaN,None,NaN,999,999,low,No Target,None
309,Normal,NaN,None,NaN,999,999,low,No Target,None
310,Normal,NaN,None,NaN,999,999,low,No Target,None
311,Normal,NaN,None,NaN,999,999,low,No Target,None
312,Normal,NaN,None,NaN,999,999,low,No Target,None
313,Normal,NaN,None,NaN,999,999,low,No Target,None
314,Normal,NaN,None,NaN,999,999,low,No Target,None
315,Critical,NaN,0.803,0.386,999,1,low,No Target,tone2
316,Normal,NaN,None,NaN,999,999,low,No Target,None
317,Critical,NaN,0.14,0.471,999,1,low,No Target,tone3
318,Normal,NaN,None,NaN,999,999,low,No Target,None
319,Normal,NaN,None,NaN,999,999,low,No Target,None
320,Normal,NaN,None,NaN,999,999,low,No Target,None
321,Normal,NaN,None,NaN,999,999,low,No Target,None
322,Normal,NaN,None,NaN,999,999,low,No Target,None
323,Normal,NaN,None,NaN,999,999,low,No Target,None
324,Normal,NaN,None,NaN,999,999,low,No Target,None
325,Critical,NaN,0.565,0.5090000000000001,999,1,low,No Target,tone1
326,Normal,NaN,None,NaN,999,999,low,No Target,None
327,Normal,NaN,None,NaN,999,999,low,No Target,None
328,Normal,NaN,None,NaN,999,999,low,No Target,None
329,Normal,0.6439999999999999,None,NaN,1,999,low,Target Present,None
330,Normal,NaN,None,NaN,999,999,low,No Target,None
331,Critical,NaN,0.438,0.48200000000000004,999,1,low,No Target,tone4
332,Normal,NaN,None,NaN,999,999,low,No Target,None
333,Normal,0.653,None,0.485,666,666,low,Target Absent,None
334,Normal,NaN,None,NaN,999,999,low,No Target,None
335,Normal,NaN,None,NaN,999,999,low,No Target,None
336,Normal,NaN,None,NaN,999,999,low,No Target,None
337,Normal,NaN,None,NaN,999,999,low,No Target,None
338,Normal,NaN,None,NaN,999,999,low,No Target,None
339,Normal,NaN,None,NaN,999,999,low,No Target,None
340,Normal,NaN,None,NaN,999,999,low,No Target,None
341,Normal,NaN,None,NaN,999,999,low,No Target,None
342,Critical,0.627,0.478,0.509,999,1,low,Target Absent,tone2
343,Normal,NaN,None,NaN,999,999,low,No Target,None
344,Normal,NaN,None,NaN,999,999,low,No Target,None
345,Normal,NaN,None,NaN,999,999,low,No Target,None
346,Normal,NaN,None,NaN,999,999,low,No Target,None
347,Normal,NaN,None,NaN,999,999,low,No Target,None
348,Critical,0.7609999999999999,0.658,0.527,999,1,low,Target Present,tone3
349,Normal,NaN,None,NaN,999,999,low,No Target,None
350,Normal,NaN,None,NaN,999,999,low,No Target,None
351,Normal,NaN,None,NaN,999,999,low,No Target,None
352,Normal,NaN,None,NaN,999,999,low,No Target,None
353,Normal,NaN,None,NaN,999,999,low,No Target,None
354,Normal,0.633,None,NaN,1,999,low,Target Present,None
355,Normal,NaN,None,NaN,999,999,low,No Target,None
356,Normal,NaN,None,NaN,999,999,low,No Target,None
357,Normal,NaN,None,NaN,999,999,low,No Target,None
358,Critical,NaN,0.401,0.488,999,1,low,No Target,tone3
359,Normal,0.647,None,NaN,1,999,low,Target Absent,None
360,Normal,NaN,None,NaN,999,999,low,No Target,None
361,Normal,NaN,None,NaN,999,999,low,No Target,None
362,Normal,NaN,None,NaN,999,999,low,No Target,None
363,Normal,NaN,None,NaN,999,999,low,No Target,None
364,Normal,NaN,None,NaN,999,999,low,No Target,None
365,Critical,NaN,0.485,0.507,999,1,low,No Target,tone4
366,Normal,NaN,None,NaN,999,999,low,No Target,None
367,Critical,NaN,0.494,0.41400000000000003,999,1,low,No Target,tone1
368,Normal,NaN,None,NaN,999,999,low,No Target,None
369,Normal,NaN,None,NaN,999,999,low,No Target,None
370,Normal,NaN,None,NaN,999,999,low,No Target,None
371,Normal,NaN,None,NaN,999,999,low,No Target,None
