"4","5","6","18","27","29","33","35","59"
"10","26","31","41","45","52","54","56","59"
"9","13","15","16","18","31","45","53","59"
"6","11","12","19","24","27","30","32","46"
"0","4","9","12","21","23","33","46","57"
"0","4","17","18","31","35","36","39","47"
"1","5","12","18","19","22","29","49","50"
"2","13","26","32","33","35","47","53","55"
"4","17","20","27","33","47","50","55","59"
"1","2","3","6","18","32","44","51","53"
"5","6","12","21","29","33","42","50","57"
"2","7","29","31","33","36","41","44","57"
"2","3","10","16","18","31","33","42","58"
"3","8","21","30","39","41","50","54","55"
"0","12","16","22","24","27","28","36","53"
"1","7","18","24","28","29","34","40","55"
