"1","5","7","8","40","50","55","56","58"
"1","21","22","30","43","44","46","51","57"
"0","9","10","23","26","27","43","45","49"
"1","2","14","35","36","46","48","52","58"
"1","5","6","26","34","48","55","58","59"
"0","13","18","31","33","34","45","46","49"
"7","11","15","34","39","45","48","49","52"
"9","10","17","19","26","27","35","40","49"
"11","12","23","25","29","34","36","39","46"
"4","7","11","13","14","19","24","31","39"
"3","4","16","19","22","29","44","49","52"
"1","16","18","21","26","27","35","41","47"
"4","9","13","30","31","33","40","46","53"
"0","3","9","10","24","29","45","56","57"
"9","11","14","15","32","45","51","56","59"
"10","11","14","21","23","26","37","49","55"
